State,city,Zipcode,latitude,longitude
CA,Sun Valley,91352,34.24831915,-118.3879714
CA,Los Angeles,90024,34.052542,-118.448504
CA,Rosemead,91770,34.050745,-118.081014
CA,Los Angeles,90015,34.040539,-118.271387
CA,Los Angeles,90012,34.059133,-118.248589
CA,Long Beach,90803,33.759802,-118.096665
CA,Sacramento,95814,38.576769,-121.495022
CA,Wilmington,90744,33.770508,-118.265628
CA,Sylmar,91342,34.30309,-118.480505
CA,Los Angeles,90012,34.066801,-118.227605
CA,Los Angeles,90016,34.036777,-118.368841
CA,El Monte,91731,34.06872,-118.064
CA,Los Angeles,90013,34.039736,-118.236065
CA,La Jolla,92037,32.89947,-117.243
CA,Escondido,92027,33.098589,-117.004433
CA,Sepulveda,91343,34.221665,-118.468371
CA,Riverside,92503,33.909914,-117.459053
CA,Pasadena,91103,34.14762,-118.147111
CA,Pasadena,91105,34.145138,-118.152655
CA,Pasadena,91105,34.145119,-118.150133
CA,Pasadena,91101,34.142973,-118.140553
CA,South Pasadena,91030,34.118433,-118.149597
CA,Long Beach,90802,33.7637,-118.192
CA,Los Angeles,90045,33.94325,-118.403342
CA,Northridge,91324,34.241116,-118.556708
CA,Ontario,91764,34.07122,-117.575
CA,Oxnard,93030,34.228315,-119.170865
CA,Palm Springs,92262,33.824004,-116.543589
CA,Pleasanton,94588,37.700187,-121.876172
CA,Riverside,92509,34.0189,-117.38
CA,Sacramento,95837,38.69005,-121.58889
CA,Santa Monica,90405,34.017081,-118.44704
CA,Santa Monica,90405,34.010021,-118.49583
CA,Sherman Oaks,91423,34.156839,-118.434454
CA,Temecula,92590,33.49605,-117.152
CA,Universal City,91608,34.138717,-118.35904
CA,Van Nuys,91405,34.21108,-118.448704
CA,Downey,90241,33.94756,-118.153806
CA,San Francisco,94133,37.80619,-122.4152
CA,Sacramento,95815,38.599693,-121.427045
CA,San Francisco,94115,37.784912,-122.430237
CA,San Francisco,94104,37.792058,-122.404312
CA,San Francisco,94105,37.78881,-122.401
CA,San Francisco,94108,37.791791,-122.411265
CA,Los Angeles,90048,34.076264,-118.377527
CA,Los Angeles,90012,34.057657,-118.24789
CA,Encino,91436,34.169242,-118.497212
CA,Northridge,91330,34.248959,-118.523887
CA,Northridge,91330,34.241687,-118.528543
CA,Northridge,91330,34.236853,-118.532588
CA,Northridge,91324,34.229277,-118.544827
CA,San Pedro,90731,33.740758,-118.28192
CA,San Fernando,91342,34.2924134,-118.4497914
CA,Los Angeles,90049,34.077588,-118.474585
CA,Arcadia,91007,34.145528,-118.050548
CA,Glendora,91741,34.13556,-117.864
CA,Culver City,90230,33.9826,-118.3966
CA,Los Angeles,90034,34.029971,-118.385231
CA,Santa Ana,92705,33.777054,-117.870566
CA,Camarillo,93012,34.16657602,-119.0458547
CA,Brea,92821,33.919899,-117.898618
CA,Newbury Park,91320,34.192178,-118.934793
CA,Oak View,93022,34.418322,-119.3368
CA,San Dimas,91773,34.105275,-117.809208
CA,Pasadena,91101,34.147709,-118.136621
CA,Rosemead,91770,34.05334473,-118.0841599
CA,Ventura,93009,34.267352,-119.2124
CA,Ventura,93003,34.268756,-119.2154
CA,Ventura,93003,34.268,-119.2492
CA,Playa del Rey,90293,33.917593,-118.425334
