Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
59011,1,3120,49754,1195,0.887156644,950,0.705270973,45.8363,-109.9434
59020,1,63,36875,21,0.512195122,0,0,45.020792,-109.931145
59024,1,444,53136,116,0.58,85,0.425,46.1294779,-107.5532214
59030,1,1211,51694,716,1.046783626,545,0.796783626,45.029727,-110.70782
59035,1,204,47292,74,0.986666667,0,0,45.31091,-107.935926
59047,1,12728,53777,5733,0.971036585,4685,0.79352981,45.659342,-110.558047
59068,2,6710,97642,3102,1.875453446,2300,1.390568319,90.371076,-218.494823
59101,2,82818,99028,40168,2.32682616,35190,2.038463766,91.574601,-217.021755
59102,4,186444,238276,91312,4.401002506,82340,3.968575284,182.999722,-434.312844
59301,1,11408,52704,5597,1.16725756,4865,1.01459854,46.39,-105.82
59330,1,8499,59002,4132,1.123742181,3525,0.958661953,47.13,-104.69
59401,1,13605,40662,6451,1.019115324,5655,0.893364929,46.872089,-113.991729
59404,4,110304,257240,51488,4.755957879,47360,4.374653612,190.0221601,-445.2834659
59405,1,31701,45342,14487,1.07446414,12545,0.930430913,47.498413,-111.30708
59411,1,721,56406,512,5.688888889,150,1.666666667,48.7582703,-113.4357597
59434,1,500,50000,164,0.921348315,155,0.870786517,48.44762983,-113.2255207
59601,2,63802,124438,31096,2.241153153,25710,1.852972973,93.209956,-224.051524
59602,2,54314,149376,25168,2.453499708,23230,2.264573991,93.239754,-224.02547
59701,2,67066,89722,29566,2.048783868,26010,1.802369898,91.989822,-225.11723
59714,1,20759,71831,10556,1.308865468,9460,1.172969622,45.763722,-111.175523
59715,6,217110,351546,106284,7.363447416,75990,5.264652903,274.139128,-666.206399
59716,3,7038,208185,4257,4.672886937,2880,3.161361142,135.781901,-333.925232
59720,1,150,59375,26,0.222222222,0,0,45.283183,-111.400487
59724,1,63,50000,28,0.777777778,20,0.555555556,44.725375,-112.700808
59739,1,250,35417,104,0.8125,70,0.546875,44.6325,-112.5917
59758,3,4302,127500,2115,2.995750708,1320,1.869688385,133.970786,-333.305032
59801,3,98532,121299,54519,3.755010676,39000,2.686135409,140.538484,-342.074038
59802,1,19259,45552,10847,1.202549889,8175,0.90631929,46.869524,-113.993472
59803,1,17775,76159,8859,1.347991479,8045,1.224132684,46.834158,-114.015726
59808,3,58953,172614,30288,3.61259542,27495,3.279460878,140.7525836,-342.2027504
59823,1,1982,62159,1014,1.383356071,845,1.152796726,46.916933,-113.434975
59858,1,1532,52656,467,0.835420394,325,0.581395349,46.265012,-113.508283
59860,1,10504,48813,4320,0.980703746,3820,0.867196368,47.682564,-114.122491
59867,1,63,95179,34,0.971428571,0,0,47.38642,-115.399157
59872,1,2146,37404,763,0.808262712,645,0.683262712,47.1921,-114.8889
59901,4,222116,221928,99592,4.791993456,90080,4.334311697,192.736775,-457.184843
59911,1,8377,62420,3052,0.849429446,2810,0.782076259,48.00563889,-114.0558333
59922,1,2189,66526,909,0.916330645,805,0.811491935,48.011829,-114.362947
59937,3,41829,189090,19650,3.370497427,17010,2.917667238,145.211664,-343.012278
