,State,city,Zipcode,latitude,longitude,counts
0,CA,Sun Valley,91352,34.2483191527193,-118.3879713743439,6
6,CA,Los Angeles,90024,34.052542,-118.448504,1346
1352,CA,Rosemead,91770,34.050745,-118.081014,15
1367,CA,Long Beach,90803,33.759802,-118.096665,224
1591,CA,Sacramento,95814,38.576769,-121.495022,258
1849,CA,Wilmington,90744,33.770508,-118.265628,7
1856,CA,Sylmar,91342,34.30309,-118.480505,8
1864,CA,El Monte,91731,34.06872,-118.064,25
1889,CA,La Jolla,92037,32.89947,-117.243,30
1919,CA,Escondido,92027,33.098589,-117.004433,32
1951,CA,Sepulveda,91343,34.221665,-118.468371,1
1952,CA,Riverside,92503,33.909914,-117.459053,105
2057,CA,Pasadena,91103,34.14762,-118.147111,80
2137,CA,South Pasadena,91030,34.118433,-118.149597,2
2139,CA,Northridge,91324,34.241116,-118.556708,20
2159,CA,Ontario,91764,34.07122,-117.575,40
2199,CA,Oxnard,93030,34.228315,-119.170865,35
2234,CA,Palm Springs,92262,33.824004,-116.543589,53
2287,CA,Pleasanton,94588,37.700187,-121.876172,89
2376,CA,Santa Monica,90405,34.017081,-118.44704,171
2547,CA,Sherman Oaks,91423,34.156839,-118.434454,13
2560,CA,Temecula,92590,33.49605,-117.152,30
2590,CA,Universal City,91608,34.138717,-118.35904,45
2635,CA,Van Nuys,91405,34.21108,-118.448704,22
2657,CA,Downey,90241,33.94756,-118.153806,33
2690,CA,San Francisco,94133,37.80619,-122.4152,479
3169,CA,Encino,91436,34.169242,-118.497212,5
3174,CA,San Pedro,90731,33.740758,-118.28192,13
3187,CA,San Fernando,91342,34.2924134,-118.4497914,10
3197,CA,Arcadia,91007,34.145528,-118.050548,16
3213,CA,Glendora,91741,34.13556,-117.864,11
3224,CA,Culver City,90230,33.9826,-118.3966,87
3311,CA,Santa Ana,92705,33.777054,-117.870566,56
3367,CA,Camarillo,93012,34.16657601660278,-119.0458546627045,16
3383,CA,Brea,92821,33.919899,-117.898618,13
3396,CA,Newbury Park,91320,34.192178,-118.934793,6
3402,CA,Oak View,93022,34.418322,-119.3368,1
3403,CA,San Dimas,91773,34.105275,-117.809208,7
3410,CA,Ventura,93009,34.267352,-119.2124,47
3457,CA,Playa del Rey,90293,33.917593,-118.425334,1
3458,CA,Baldwin Park,91706,34.089085,-117.95463,7
3465,CA,South Gate,90280,33.930663,-118.175758,4
3469,CA,Davis,95616,38.539336,-121.732405,46
3515,CA,San Luis Obispo,93401,35.25939,-120.64492,39
3554,CA,Santa Cruz,95061,36.973393,-122.024849,33
3587,CA,Fair Oaks,95628,38.66292,-121.2634,2
3589,CA,Antelope,95843,38.7042,-121.365,1
3590,CA,Placerville,95667,38.73323,-120.78962,17
3607,CA,Vacaville,95687,38.356027,-121.9628,31
3638,CA,Citrus Heights,95621,38.682605,-121.297614,5
3643,CA,Dixon,95620,38.457369,-121.842567,3
3646,CA,El Dorado Hills,95762,38.6476,-121.067,10
3656,CA,Elk Grove,95758,38.40553,-121.391,22
3678,CA,Granite Bay,95746,38.74453,-121.17,3
3681,CA,Carmichael,95608,38.618066,-121.334337,1
3682,CA,Rio Vista,94571,38.15485,-121.69,2
3684,CA,Fairfield,94533,38.25281,-122.044229,41
3725,CA,Vallejo,94590,38.105062,-122.265895,49
3774,WA,Lacey,98503,47.044011,-122.822404,14
3788,OR,Portland,97214,45.508396,-122.664667,183
3971,CA,Ukiah,95482,39.15,-123.2091,19
3990,CA,Auburn,95603,38.9412492,-121.1054805,15
4005,CA,King City,93930,36.188975,-121.075858,8
4013,CA,Lakewood,90712,33.84788,-118.13889,9
4022,CA,Larkspur,94939,37.94495,-122.5096,8
